Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Lifetime Value,Seasonality Score,Cluster,Purchase Target
1,55,1,Blouse,1,53,Kentucky,0,Gray,3,3.1,1,Credit Card,Express,Yes,Yes,14,Venmo,14.0,742,42.0,1,1
2,19,1,Sweater,1,64,Maine,0,Maroon,3,3.1,1,Bank Transfer,Express,Yes,Yes,2,Cash,14.0,128,42.0,1,0
3,50,1,Jeans,1,73,Massachusetts,2,Maroon,1,3.1,1,Cash,Free Shipping,Yes,Yes,23,Credit Card,7.0,1679,7.0,1,0
4,21,1,Sandals,2,90,Rhode Island,1,Maroon,1,3.5,1,PayPal,Next Day Air,Yes,Yes,49,PayPal,7.0,4410,7.0,0,0
5,45,1,Blouse,1,49,Oregon,1,Turquoise,1,2.7,1,Cash,Free Shipping,Yes,Yes,31,PayPal,365.0,1519,365.0,2,1
6,46,1,Sneakers,2,20,Wyoming,1,White,2,2.9,1,Venmo,Standard,Yes,Yes,14,Venmo,7.0,280,14.0,1,0
7,63,1,Shirt,1,85,Montana,1,Gray,0,3.2,1,Debit Card,Free Shipping,Yes,Yes,49,Cash,30.0,4165,21.0,0,0
8,27,1,Shorts,1,34,Louisiana,0,Charcoal,3,3.2,1,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,7.0,646,21.0,1,0
9,26,1,Coat,3,97,West Virginia,0,Silver,2,2.6,1,Venmo,Express,Yes,Yes,8,Venmo,365.0,776,730.0,2,0
10,57,1,Handbag,0,31,Missouri,1,Pink,1,4.8,1,PayPal,2-Day Shipping,Yes,Yes,4,Cash,30.0,124,21.0,1,0
11,53,1,Shoes,2,34,Arkansas,0,Purple,0,4.1,1,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,30.0,884,21.0,1,0
12,30,1,Shorts,1,68,Hawaii,2,Olive,3,4.9,1,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,14.0,680,42.0,1,0
13,61,1,Coat,3,72,Delaware,1,Gold,3,4.5,1,PayPal,Express,Yes,Yes,37,Venmo,14.0,2664,42.0,1,0
14,65,1,Dress,1,51,New Hampshire,1,Violet,1,4.7,1,Debit Card,Express,Yes,Yes,31,PayPal,7.0,1581,7.0,1,0
15,64,1,Coat,3,53,New York,0,Teal,3,4.7,1,PayPal,Free Shipping,Yes,Yes,34,Debit Card,7.0,1802,21.0,1,0
16,64,1,Skirt,1,81,Rhode Island,1,Teal,3,2.8,1,Credit Card,Store Pickup,Yes,Yes,8,PayPal,30.0,648,90.0,1,0
17,25,1,Sunglasses,0,36,Alabama,2,Gray,1,4.1,1,Venmo,Next Day Air,Yes,Yes,44,Debit Card,30.0,1584,21.0,1,0
18,53,1,Dress,1,38,Mississippi,3,Lavender,3,4.7,1,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,30.0,1368,21.0,1,0
19,52,1,Sweater,1,48,Montana,2,Black,2,4.6,1,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,7.0,816,14.0,1,0
